ID,Vendor ID,Is Preferred,Has Master,Consulting Only,Doc Type,Analyst J,User ID,OrgID,Change Order, Scaled C Total , Scaled Amount ,Submitted Date,System Entered Date,Contract Execute Date,Prelim Days,System Days,Total Days,NumPending,New system
1,63,FALSE,FALSE,FALSE,Consulting,FALSE,110,4,FALSE,0.154786944,0.179460903,10/16/2017,1/19/2018,4/12/2018,70,60,129,35,TRUE
2,134,FALSE,FALSE,FALSE,Professional Services,FALSE,36,4,FALSE,0.214196627,0.189372649,10/16/2017,1/22/2018,4/2/2018,71,51,121,36,TRUE
3,36,FALSE,TRUE,TRUE,Consulting,TRUE,109,4,FALSE,0.110710679,0.136671338,5/10/2017,8/3/2017,9/29/2017,62,42,103,11,TRUE
4,36,FALSE,TRUE,TRUE,Consulting,FALSE,117,1,FALSE,0.110712045,0.136672665,2/1/2015,2/4/2015,6/16/2015,3,95,97,9,FALSE
5,132,TRUE,TRUE,FALSE,Professional Services,TRUE,72,4,TRUE,0.240534147,0.205319593,3/8/2017,4/28/2017,7/19/2017,38,59,96,17,TRUE
6,36,FALSE,TRUE,TRUE,Professional Services,FALSE,78,4,TRUE,0.132578662,0.106820405,4/3/2017,8/3/2017,8/8/2017,89,4,92,18,TRUE
7,17,FALSE,FALSE,FALSE,Professional Services,FALSE,97,13,FALSE,0.082975609,0.109745927,3/30/2015,4/1/2015,7/21/2015,3,80,82,17,FALSE
8,36,FALSE,TRUE,TRUE,Consulting,FALSE,101,4,FALSE,1,1,11/2/2016,11/2/2016,2/22/2017,1,81,81,34,FALSE
9,23,FALSE,FALSE,FALSE,Professional Services,FALSE,5,4,TRUE,0.096475511,0.110402676,6/22/2017,6/30/2017,10/11/2017,7,74,80,17,TRUE
10,132,TRUE,TRUE,FALSE,Professional Services,TRUE,84,3,FALSE,0.109771781,0.135759849,5/17/2017,7/28/2017,9/4/2017,53,27,79,9,TRUE
11,86,TRUE,TRUE,TRUE,Consulting,FALSE,98,19,FALSE,0.154763027,0.179437684,10/28/2016,10/28/2016,2/14/2017,1,78,78,24,FALSE
12,38,FALSE,FALSE,FALSE,Software,FALSE,64,10,TRUE,0.079962116,0.106820405,10/24/2016,10/24/2016,2/7/2017,1,77,77,21,FALSE
13,20,TRUE,TRUE,FALSE,Professional Services,FALSE,103,19,TRUE,0.26725208,0.162606503,3/16/2015,3/18/2015,6/25/2015,3,72,74,15,FALSE
14,145,FALSE,TRUE,FALSE,Professional Services,FALSE,21,12,TRUE,0.310087945,0.137423747,10/13/2017,10/19/2017,1/23/2018,5,69,73,27,TRUE
15,132,TRUE,TRUE,FALSE,Professional Services,TRUE,23,4,FALSE,0.223021693,0.245703703,1/18/2018,1/23/2018,4/30/2018,4,70,73,12,TRUE
16,132,TRUE,TRUE,FALSE,Professional Services,TRUE,23,4,FALSE,0.287136438,0.307946772,12/27/2017,1/17/2018,4/5/2018,16,57,72,16,TRUE
17,86,TRUE,TRUE,TRUE,Consulting,TRUE,73,13,FALSE,0.095727263,0.122125327,12/22/2017,12/27/2017,4/2/2018,4,69,72,15,TRUE
18,46,FALSE,FALSE,FALSE,Software,FALSE,68,4,FALSE,0.106300456,0.13238986,2/10/2016,2/10/2016,5/17/2016,1,70,70,17,FALSE
19,71,FALSE,FALSE,FALSE,Software,FALSE,42,9,FALSE,0.152531949,0.177271737,5/20/2015,5/22/2015,8/24/2015,3,67,69,24,FALSE
20,36,FALSE,TRUE,TRUE,Consulting,FALSE,73,4,TRUE,0.282911649,0.063037092,7/27/2017,8/30/2017,10/30/2017,25,44,68,22,TRUE
21,20,TRUE,TRUE,FALSE,Managed Team,FALSE,73,1,TRUE,0.260418996,0.173732453,6/13/2017,6/18/2017,9/14/2017,4,64,68,17,TRUE
22,20,TRUE,TRUE,FALSE,Professional Services,FALSE,40,4,FALSE,0.192371787,0.215948547,3/25/2015,3/27/2015,6/26/2015,3,66,68,20,FALSE
23,88,FALSE,FALSE,FALSE,Software,FALSE,107,4,FALSE,0.132901878,0.158214718,7/20/2015,7/22/2015,10/21/2015,3,66,68,13,FALSE
24,36,FALSE,TRUE,TRUE,Consulting,FALSE,59,4,TRUE,0.094148083,0.115749548,5/31/2015,6/2/2015,9/2/2015,2,67,68,22,FALSE
25,88,FALSE,FALSE,FALSE,Software,FALSE,36,4,TRUE,0.211161814,0.15458402,10/12/2017,12/26/2017,1/11/2018,54,13,66,26,TRUE
26,132,TRUE,TRUE,FALSE,Professional Services,FALSE,72,4,FALSE,0.151084653,0.175866691,11/1/2017,11/24/2017,1/31/2018,18,49,66,26,TRUE
27,86,TRUE,TRUE,TRUE,Consulting,TRUE,107,4,FALSE,0.095123881,0.121539559,7/5/2018,7/10/2018,10/4/2018,4,63,66,2,TRUE
28,67,FALSE,TRUE,FALSE,Professional Services,FALSE,64,12,TRUE,0.088080097,0.106820405,10/26/2016,10/26/2016,1/24/2017,1,65,65,22,FALSE
29,20,TRUE,TRUE,FALSE,Professional Services,TRUE,95,4,TRUE,0.110101868,0.106820405,7/20/2017,9/14/2017,10/16/2017,41,23,63,18,TRUE
